	log2FoldChange_Pinfestans	log2FoldChange_Cfulvum	log2FoldChange_PSTVd_S23	log2FoldChange_PSTVd_M	log2FoldChange_Bcinerea	log2FoldChange_Mincognita_7dpi	log2FoldChange_Mincognita_14dpi
mRNA:Solyc00g160660.1.1	0.0	0.0	-1.24934711740265	-0.951635800775922	0.0	0.0	0.0
mRNA:Solyc00g160320.1.1	0.0	0.0	0.0	0.0842355734643827	0.0	0.0	0.0
mRNA:Solyc00g160010.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g160330.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g007330.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g007340.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g007350.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g160020.1.1	0.0	0.0	-0.790266926139246	-0.97799774181373	0.0	0.0	0.0
mRNA:Solyc00g160340.1.1	-0.840772330984867	0.0	-1.26878222839457	-0.656520742631423	0.0	0.0	0.0
mRNA:Solyc00g160670.1.1	0.0	0.0	1.34181760738575	0.0	0.0	0.0	0.0
mRNA:Solyc00g160350.1.1	0.0	0.0	-1.39984768597138	-1.24976789037679	0.0	0.0	0.0
mRNA:Solyc00g500123.1.1	0.0	0.0	-0.342143526687114	-0.279157827743224	0.0	0.0	0.0
mRNA:Solyc00g500124.1.1	0.0	0.0	0.570509401167802	0.414610325266804	0.0	0.0	0.0
mRNA:Solyc00g500125.1.1	0.0	0.0	-0.59083736948728	0.28868462928552	0.0	0.0	0.0
mRNA:Solyc00g500126.1.1	0.0	0.0	-1.10530086730908	-0.358822166030556	0.0	0.0	0.0
mRNA:Solyc00g500127.1.1	0.0	0.0	0.0	1.67566483581987	0.0	0.0	0.0
mRNA:Solyc00g500128.1.1	0.0	0.0	0.48791286317879	0.274182489912669	0.0	0.0	0.0
mRNA:Solyc00g500129.1.1	0.0	0.656087755410115	-0.768453488478591	-0.469507501706221	0.0	0.0	0.0
mRNA:Solyc00g500130.1.1	0.0	0.0	-0.19385518027588	-0.798782828384539	0.188367651571188	0.0	0.0
mRNA:Solyc00g500131.1.1	0.0	0.0	-0.0913276026519545	0.963369176877247	0.0	0.0	0.0
mRNA:Solyc00g500132.1.1	0.0	0.0	-0.0884014551245021	-0.536611551242072	0.0	0.0	0.0
mRNA:Solyc00g500133.1.1	0.0	0.0	0.0686175861179876	0.784191793170535	0.0	0.0	0.0
mRNA:Solyc00g500134.1.1	0.0	0.0	-0.374673004994617	-0.597765519474184	0.0	0.0	0.0
mRNA:Solyc00g500135.1.1	0.0	0.0	0.283289730078647	-0.151102473821188	0.0	0.0	0.0
mRNA:Solyc00g160170.1.1	0.0	0.0	-0.925108496568969	0.115608225823205	0.0	0.0	-0.139193177419182
mRNA:Solyc00g500136.1.1	0.0	0.0	-0.559582404171195	-0.71378398807531	0.0	0.0	0.0
mRNA:Solyc00g500137.1.1	0.0	0.0	-1.25731879323951	-0.339434470454141	0.0	0.0	0.0
mRNA:Solyc00g500138.1.1	0.0	0.0	1.10756276978833	0.787364085470569	0.0	0.0	0.0
mRNA:Solyc00g500139.1.1	0.0	0.0	0.263808696164698	1.21953691877966	0.0	0.0	0.0
mRNA:Solyc00g500140.1.1	-0.359880990419457	0.0	0.247573060424755	0.526792555256535	0.188367651571188	0.0	0.0
mRNA:Solyc00g500141.1.1	0.0	0.0	-0.842199737575963	-0.549432695616248	0.0	0.0	0.0
mRNA:Solyc00g500142.1.1	0.0	0.0	0.775946634648532	-0.754246809580838	0.0	0.0	0.0
mRNA:Solyc00g500144.1.1	0.0	0.0	1.70841015449456	-0.159285629461684	-0.584495283296421	0.0	0.0
mRNA:Solyc00g500145.1.1	0.0	0.0	0.876463758152494	1.39282325190508	0.0	0.0	0.0
mRNA:Solyc00g500147.1.1	0.0	0.0	-0.749695529988363	-0.397793283150688	0.0	0.0	0.0
mRNA:Solyc00g500148.1.1	0.0	0.0	1.1497217378703	1.14257418024141	0.0	0.0	0.0
mRNA:Solyc00g500149.1.1	0.0	0.0	-0.275768826266491	-0.475779544711319	-0.762966077491503	0.0	0.58214589780739
mRNA:Solyc00g500150.1.1	-0.840772330984866	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500151.1.1	0.0	0.0	-0.100511963771415	0.751634273161992	-1.27065121109433	-0.752112580497849	-1.10761083695488
mRNA:Solyc00g500152.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500153.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500154.1.1	0.0	0.0	-1.21179956268327	-0.400973086192195	0.0	0.0	0.0
mRNA:Solyc00g500155.1.1	0.0	0.0	-0.458865815248634	-1.83163061484079	0.0	0.0	0.0
mRNA:Solyc00g500156.1.1	0.0	0.0	-1.27634345067826	-0.97799774181373	0.0	0.0	0.0
mRNA:Solyc00g500157.1.1	0.0	0.0	-2.27514394451176	-0.481530236695976	0.0	0.0	0.0
mRNA:Solyc00g500158.1.1	0.0	0.0	-0.246605769036378	-0.955630464593627	0.0	0.0	0.0
mRNA:Solyc00g500159.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500161.1.1	0.0	0.0	-0.749379052039746	-0.488800555210114	0.0	0.0	0.0
mRNA:Solyc00g500162.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500163.1.1	1.08279770220093	0.0	0.112920537313551	0.532228281918343	0.0	0.0	0.0
